"Reference","Qty","Value","DNP","Footprint","Datasheet"
"C1,C3,C4","3","100nF","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C2,C5","2","100pF","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"D1","1","~","","LED_THT:LED_D3.0mm",""
"J1,J2","2","~","","mjrskiles:THONKICONN","https://www.thonk.co.uk/wp-content/uploads/2018/07/Thonkiconn_Jack_Datasheet-new.jpg"
"J3,J4","2","Conn_01x06_Pin","","Connector_PinHeader_1.27mm:PinHeader_1x06_P1.27mm_Vertical","~"
"R1,R2","2","1K","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R3,R4,R5","3","220","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R6","1","10K","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"RV1","1","100K","","mjrskiles:PTV09A-4020F-B102","~"
"SW1","1","SW_SPST","","mjrskiles:SWITCH_SPST_6mm_BUTTON_PTH","~"
"U1","1","TL072","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/tl071.pdf"
